day,os,version,downloads
2017-01-01,win,3.3.2,627
2017-01-01,win,3.0.1,1
2017-01-01,src,2.11.0,1
2017-01-01,src,latest,1
2017-01-01,src,3.0.3,3
2017-01-01,src,2.5.0,1
2017-01-01,osx,2.13.2,1
2017-01-01,src,2.13.1,1
2017-01-01,src,3.1.2,1
2017-01-01,src,2.12.1,1
2017-01-01,osx,3.3.2,102
2017-01-01,osx,3.2.1,1
2017-01-01,src,3.3.2,41
2017-01-01,osx,latest,30
2017-01-01,src,3.2.1,1
2017-01-01,src,3.0.1,1
2017-01-02,osx,2.10.0,1
2017-01-02,osx,3.3.2,196
2017-01-02,osx,3.3.1,2
2017-01-02,win,3.2.3,1
2017-01-02,win,3.0.0,1
2017-01-02,win,2.15.3,1
2017-01-02,src,3.1.1,1
2017-01-02,win,3.1.0,2
2017-01-02,osx,3.0.3,1
2017-01-02,src,3.3.1,3
2017-01-02,src,3.1.2,3
2017-01-02,src,3.3.2,51
2017-01-02,win,3.1.3,1
2017-01-02,src,3.0.3,3
2017-01-02,NA,latest,2
2017-01-02,src,2.6.2,1
2017-01-02,osx,latest,22
2017-01-02,src,3.2.3,2
2017-01-02,win,3.3.2,832
2017-01-02,src,3.2.2,1
2017-01-02,win,2.12.1,1
2017-01-02,osx,3.2.1,8
2017-01-03,src,3.2.3,1
2017-01-03,osx,2.15.2,1
2017-01-03,win,3.1.0,3
2017-01-03,src,2.10.1,1
2017-01-03,src,3.2.2,2
2017-01-03,osx,3.2.1,22
2017-01-03,src,3.2.4,4
2017-01-03,src,3.3.0,2
2017-01-03,src,3.3.2,81
2017-01-03,osx,2.13.0,1
2017-01-03,osx,3.1.0,2
2017-01-03,src,latest,1
2017-01-03,osx,2.12.2,1
2017-01-03,osx,3.1.3,3
2017-01-03,osx,3.2.3,1
2017-01-03,src,2.13.1,1
2017-01-03,osx,2.11.0,2
2017-01-03,NA,latest,9
2017-01-03,src,3.1.1,4
2017-01-03,osx,2.13.1,1
2017-01-03,osx,3.3.0,1
2017-01-03,src,3.0.3,1
2017-01-03,osx,3.1.2,2
2017-01-03,win,3.2.1,1
2017-01-03,osx,2.10.0,1
2017-01-03,osx,3.0.1,1
2017-01-03,osx,2.12.0,1
2017-01-03,osx,2.14.2,1
2017-01-03,osx,2.15.0,1
2017-01-03,win,3.3.1,2
2017-01-03,osx,2.15.1,3
2017-01-03,src,3.1.2,1
2017-01-03,win,3.3.2patched,1
2017-01-03,win,3.3.2,1219
2017-01-03,src,3.2.5,2
2017-01-03,osx,3.0.3,1
2017-01-03,osx,3.2.0,1
2017-01-03,osx,3.1.1,2
2017-01-03,osx,latest,35
2017-01-03,osx,3.0.2,1
2017-01-03,osx,2.10.1,1
2017-01-03,osx,2.13.2,1
2017-01-03,osx,3.3.1,1
2017-01-03,osx,3.0.0,1
2017-01-03,osx,2.11.1,2
2017-01-03,src,2.1.1,1
2017-01-03,osx,3.3.2,368
2017-01-03,osx,3.2.4,2
2017-01-03,osx,3.2.2,1
2017-01-03,osx,2.14.1,1
2017-01-03,src,2.1.0,1
2017-01-03,src,3.2.0,4
2017-01-03,src,3.2.1,1
2017-01-03,osx,2.14.0,1
2017-01-03,osx,2.12.1,1
2017-01-03,osx,2.15.3,1
2017-01-04,win,3.3.2,1388
2017-01-04,win,3.3.2patched,1
2017-01-04,win,3.1.0,1
2017-01-04,src,3.1.2,2
2017-01-04,src,3.1.1,3
2017-01-04,src,3.2.5,1
2017-01-04,src,3.2.2,1
2017-01-04,NA,latest,1
2017-01-04,osx,3.0.0,1
2017-01-04,src,3.0.0,1
2017-01-04,osx,3.0.2,1
2017-01-04,src,3.3.2,101
2017-01-04,osx,latest,44
2017-01-04,src,latest,1
2017-01-04,osx,3.3.2,461
2017-01-04,osx,3.1.0,1
2017-01-04,src,3.2.3,3
2017-01-04,src,2.10.0,1
2017-01-04,src,3.3.1,4
2017-01-04,src,2.15.3,1
2017-01-04,osx,3.2.1,18
2017-01-04,win,2.11.1,1
2017-01-04,osx,3.3.1,3
