day,os,version,downloads
2015-01-01,win,2.12.2,1
2015-01-01,win,2.7.1,1
2015-01-01,win,2.3.0,1
2015-01-01,win,2.7.2,1
2015-01-01,src,3.1.2,45
2015-01-01,osx,3.0.0,1
2015-01-01,win,2.9.1,1
2015-01-01,win,2.11.1,2
2015-01-01,win,3.0.0,1
2015-01-01,win,2.10.0,1
2015-01-01,win,3.1.2,769
2015-01-01,src,3.1.1,1
2015-01-01,src,3.0.2,1
2015-01-01,win,2.4.0,1
2015-01-01,osx,latest,2
2015-01-01,osx,2.12.2,1
2015-01-01,src,2.3.1,1
2015-01-01,osx,3.0.1,1
2015-01-01,win,2.2.1,1
2015-01-01,win,3.0.1,1
2015-01-01,win,2.15.0,1
2015-01-01,win,2.2.1pat,1
2015-01-01,win,2.6.2,1
2015-01-01,win,3.1.0,2
2015-01-01,osx,2.15.3,1
2015-01-01,win,2.12.0,1
2015-01-01,win,2.12.1,1
2015-01-01,win,2.15.3,4
2015-01-01,win,2.9.0,1
2015-01-01,win,2.5.1,1
2015-01-01,osx,2.13.2,1
2015-01-01,win,2.2.0,1
2015-01-01,win,3.1.2patched,4
2015-01-01,win,2.15.2,1
2015-01-01,win,3.1.1,1202
2015-01-01,osx,2.15.1,2
2015-01-01,win,2.13.2,1
2015-01-01,win,2.6.1,1
2015-01-01,win,2.7.0,1
2015-01-01,win,2.3.1,1
2015-01-01,win,2.14.2,1
2015-01-01,win,2.13.1,1
2015-01-01,win,2.8.1,1
2015-01-01,win,3.0.3,2
2015-01-01,win,2.10.1,1
2015-01-01,win,2.13.0,1
2015-01-01,win,3.0.2,1
2015-01-01,src,2.4.0,1
2015-01-01,win,2.15.1,1
2015-01-01,win,2.14.0,1
2015-01-01,win,2.6.0,1
2015-01-01,osx,3.1.2,74
2015-01-01,win,2.14.1,1
2015-01-01,win,2.8.0,1
2015-01-01,win,2.11.0,2
2015-01-01,win,2.9.2,1
2015-01-01,win,2.5.0,1
2015-01-01,win,devel,2
2015-01-01,win,2.4.1,1
2015-01-02,osx,2.15.0,1
2015-01-02,osx,2.14.0,1
2015-01-02,win,2.3.0,1
2015-01-02,osx,2.12.0,1
2015-01-02,osx,2.14.1,2
2015-01-02,osx,3.1.0,3
2015-01-02,osx,2.15.3,3
2015-01-02,src,3.1.1,2
2015-01-02,osx,3.0.3,2
2015-01-02,win,release.exe,2
2015-01-02,osx,3.1.1,3
2015-01-02,win,3.0.2,1
2015-01-02,osx,3.0.1,1
2015-01-02,src,latest,1
2015-01-02,osx,latest,4
2015-01-02,osx,2.13.0,1
2015-01-02,src,3.0.0,1
2015-01-02,osx,2.12.2,1
2015-01-02,osx,2.10.0,1
2015-01-02,win,2.15.2,1
2015-01-02,osx,2.10.1,2
2015-01-02,src,3.1.2,61
2015-01-02,src,2.4.0,1
2015-01-02,src,3.0.3,1
2015-01-02,win,3.1.1,1588
2015-01-02,win,3.1.2patched,1
2015-01-02,win,3.1.2,930
2015-01-02,src,3.0.1,1
2015-01-02,src,2.13.0,1
2015-01-02,osx,2.11.0,2
2015-01-02,osx,3.1.2,118
2015-01-02,osx,2.12.1,1
2015-01-02,src,2.15.3,1
2015-01-02,win,3.0.1,1
2015-01-02,src,2.0.1,1
2015-01-02,src,2.14.1,1
2015-01-02,win,2.14.0,1
2015-01-02,osx,2.11.1,1
2015-01-03,win,3.1.0,1
2015-01-03,src,latest,3
2015-01-03,src,2.5.1,1
2015-01-03,osx,2.13.1,1
2015-01-03,osx,2.10.0,1
2015-01-03,src,2.6.0,1
2015-01-03,osx,2.12.0,1
2015-01-03,src,2.15.3,2
2015-01-03,osx,3.0.3,2
2015-01-03,src,2.9.0,1
2015-01-03,src,2.6.1,1
2015-01-03,win,3.1.2patched,1
2015-01-03,src,2.11.1,1
2015-01-03,osx,3.1.0,3
2015-01-03,src,3.1.0,1
2015-01-03,win,3.1.1,1305
2015-01-03,win,2.4.1,1
2015-01-03,osx,2.15.3,1
2015-01-03,src,2.14.0,1
2015-01-03,win,devel,1
2015-01-03,osx,3.1.2,160
2015-01-03,src,3.1.1,1
2015-01-03,osx,latest,3
2015-01-03,src,2.13.0,1
2015-01-03,src,3.1.2,51
2015-01-03,osx,2.15.2,1
2015-01-03,win,3.1.2,875
2015-01-04,src,2.15.0,1
2015-01-04,osx,2.14.0,1
2015-01-04,osx,3.1.2,123
2015-01-04,osx,2.13.2,1
2015-01-04,src,latest,2
2015-01-04,win,3.0.3,1
2015-01-04,src,3.1.1,2
2015-01-04,osx,2.10.1,1
2015-01-04,src,2.9.2,1
2015-01-04,win,3.1.2,873
2015-01-04,src,2.4.0,1
2015-01-04,win,3.1.2patched,1
2015-01-04,win,3.1.0,1
2015-01-04,osx,2.12.1,1
2015-01-04,src,3.0.0,1
2015-01-04,win,2.7.0,1
2015-01-04,osx,3.1.1,1
2015-01-04,win,3.1.1,677
2015-01-04,win,devel,3
2015-01-04,src,2.5.1,1
2015-01-04,win,2.12.2,1
2015-01-04,src,2.15.3,2
2015-01-04,win,3.0.2,1
2015-01-04,win,2.15.1,1
2015-01-04,src,3.0.3,25
2015-01-04,src,3.1.2,59
2015-01-04,src,2.0.1,1
2015-01-04,osx,latest,2
2015-01-04,win,2.15.3,2
2015-01-04,src,2.2.1,1
2015-01-04,win,2.15.0,1
2015-01-04,win,3.0.0,1
2015-01-05,osx,3.1.0,1
2015-01-05,osx,3.1.2,307
2015-01-05,src,2.7.2,1
2015-01-05,osx,2.12.2,1
2015-01-05,win,3.1.1,178
2015-01-05,win,2.8.0,3
2015-01-05,src,2.9.1,1
2015-01-05,src,3.0.3,1
2015-01-05,src,3.1.1,5
2015-01-05,win,3.0.2,1
2015-01-05,win,2.15.2,4
2015-01-05,src,3.1.2,118
2015-01-05,win,3.0.3,3
2015-01-05,win,3.1.2,1608
2015-01-05,src,2.6.0,1
2015-01-05,win,2.8.1,1
2015-01-05,osx,2.13.2,1
2015-01-05,src,2.2.0,1
2015-01-05,win,3.1.2patched,1
2015-01-05,osx,3.1.1,3
2015-01-05,win,2.12.0,1
2015-01-05,osx,latest,3
2015-01-05,win,2.12.2,1
