day,os,version,downloads
2015-01-06,osx,2.14.2,1
2015-01-06,win,3.1.2,1867
2015-01-06,win,3.0.0,5
2015-01-06,src,2.13.2,1
2015-01-06,src,2.0.0,2
2015-01-06,osx,2.11.1,1
2015-01-06,win,2.15.2,1
2015-01-06,osx,2.15.1,2
2015-01-06,osx,3.0.1,1
2015-01-06,win,3.1.1,170
2015-01-06,osx,3.1.0,3
2015-01-06,src,3.1.2,107
2015-01-06,osx,latest,2
2015-01-06,src,2.15.3,2
2015-01-06,osx,2.15.0,1
2015-01-06,osx,3.1.1,7
2015-01-06,win,3.1.2patched,1
2015-01-06,osx,2.15.3,1
2015-01-06,osx,2.12.1,1
2015-01-06,src,3.0.3,1
2015-01-06,osx,2.14.0,1
2015-01-06,osx,2.13.0,1
2015-01-06,win,2.15.0,1
2015-01-06,src,3.0.2,3
2015-01-06,src,2.9.2,1
2015-01-06,osx,3.1.2,401
2015-01-06,src,3.1.1,8
2015-01-06,win,3.0.3,2
2015-01-06,osx,2.13.2,1
2015-01-06,osx,2.15.2,1
2015-01-06,src,3.0.1,1
2015-01-06,osx,2.10.1,1
2015-01-06,osx,2.12.0,1
2015-01-06,osx,2.14.1,1
2015-01-06,osx,2.12.2,1
2015-01-06,osx,3.0.3,3
2015-01-06,osx,2.13.1,2
2015-01-06,win,3.1.0,1
2015-01-06,osx,3.0.0,1
2015-01-06,src,3.1.0,3
2015-01-06,src,3.0.0,4
2015-01-06,win,3.0.2,1
2015-01-06,osx,3.0.2,3
2015-01-06,osx,2.10.0,1
2015-01-06,win,2.14.2,3
2015-01-06,osx,2.11.0,2
2015-01-07,src,3.0.0,6
2015-01-07,src,2.3.1,1
2015-01-07,osx,3.0.2,1
2015-01-07,win,2.15.1,1
2015-01-07,src,3.1.0,2
2015-01-07,osx,2.15.2,1
2015-01-07,src,2.15.0,2
2015-01-07,osx,3.1.2,420
2015-01-07,osx,2.13.2,1
2015-01-07,src,latest,2
2015-01-07,osx,2.12.2,1
2015-01-07,src,3.1.1,2
2015-01-07,osx,2.15.0,1
2015-01-07,win,3.1.2,1776
2015-01-07,win,3.1.1,309
2015-01-07,osx,latest,5
2015-01-07,osx,3.1.1,2
2015-01-07,src,2.5.0,1
2015-01-07,win,release.exe,3
2015-01-07,src,2.14.2,2
2015-01-07,win,devel,2
2015-01-07,osx,2.15.1,1
2015-01-07,win,3.0.2,2
2015-01-07,src,3.1.2,104
2015-01-07,src,2.9.0,1
2015-01-07,osx,2.12.0,1
2015-01-07,src,2.14.1,3
2015-01-07,src,2.3.0,1
2015-01-07,src,3.0.2,2
2015-01-07,osx,3.0.1,1
2015-01-07,win,3.0.1,1
2015-01-07,win,3.1.0,3
2015-01-07,osx,2.15.3,2
2015-01-07,src,2.11.1,1
2015-01-07,win,2.15.3,2
2015-01-07,win,3.1.2patched,1
2015-01-07,osx,3.1.0,1
2015-01-07,win,2.15.2,1
2015-01-07,win,3.0.3,3
2015-01-07,win,3.0.0,3
2015-01-08,src,2.1.1,1
2015-01-08,src,3.0.1,1
2015-01-08,osx,2.13.0,2
2015-01-08,win,2.9.1,1
2015-01-08,win,2.9.0,1
2015-01-08,win,2.3.0,1
2015-01-08,win,2.12.1,1
2015-01-08,osx,2.14.2,2
2015-01-08,osx,3.0.2,1
2015-01-08,win,2.7.0,2
2015-01-08,osx,2.15.1,1
2015-01-08,win,2.15.1,1
2015-01-08,win,2.15.2,2
2015-01-08,osx,2.13.2,1
2015-01-08,win,2.12.0,1
2015-01-08,osx,3.1.0,1
2015-01-08,win,2.14.2,1
2015-01-08,osx,2.14.1,1
2015-01-08,src,2.8.0,1
2015-01-08,win,3.1.2,1723
2015-01-08,src,3.0.2,2
2015-01-08,win,2.14.1,5
2015-01-08,win,3.1.0,3
2015-01-08,win,2.11.1,2
2015-01-08,win,2.9.2,1
2015-01-08,win,3.0.2,1
2015-01-08,win,devel,2
2015-01-08,src,2.2.1,1
2015-01-08,win,2.10.1,1
2015-01-08,osx,latest,12
2015-01-08,osx,3.0.3,1
2015-01-08,osx,2.12.0,2
2015-01-08,osx,3.0.1,1
2015-01-08,win,2.11.0,2
2015-01-08,win,2.2.1,1
2015-01-08,src,2.6.2,1
2015-01-08,win,3.0.1,1
2015-01-08,src,2.7.1,1
2015-01-08,osx,2.15.3,4
2015-01-08,win,2.5.1,1
2015-01-08,win,2.8.1,1
2015-01-08,win,2.2.0,1
2015-01-08,win,2.2.1pat,1
2015-01-08,win,3.0.3,2
2015-01-08,win,2.14.0,1
2015-01-08,win,2.13.0,1
2015-01-08,win,2.6.0,1
2015-01-08,src,3.1.0,1
2015-01-08,osx,3.1.1,2
2015-01-08,src,3.1.1,8
2015-01-08,osx,3.0.0,1
2015-01-08,src,2.15.3,3
2015-01-08,win,2.15.3,2
2015-01-08,win,2.7.1,1
2015-01-08,win,3.1.1,178
2015-01-08,osx,2.13.1,3
2015-01-08,win,2.5.0,1
2015-01-08,win,2.15.0,1
2015-01-08,osx,3.1.2,441
2015-01-08,win,3.0.0,1
2015-01-08,src,2.15.0,1
2015-01-08,osx,2.10.0,1
2015-01-08,win,2.13.1,1
2015-01-08,win,2.4.0,1
2015-01-08,win,2.10.0,1
2015-01-08,win,2.8.0,1
2015-01-08,osx,2.15.2,1
2015-01-08,src,3.0.0,1
2015-01-08,win,2.7.2,1
2015-01-08,win,2.6.2,1
2015-01-08,win,3.1.2patched,4
2015-01-08,win,2.6.1,1
2015-01-08,src,3.1.2,114
2015-01-08,osx,2.10.1,2
2015-01-08,win,2.13.2,3
2015-01-08,win,2.3.1,1
2015-01-08,osx,2.11.0,2
2015-01-08,win,2.4.1,1
2015-01-08,win,2.12.2,1
2015-01-08,osx,2.12.2,2
2015-01-08,osx,2.12.1,1
2015-01-09,src,3.1.1,4
2015-01-09,win,2.11.1,1
2015-01-09,win,3.1.1,195
2015-01-09,src,3.0.1,1
2015-01-09,win,3.1.2,1373
2015-01-09,src,2.9.0,1
2015-01-09,win,3.1.2patched,1
2015-01-09,src,2.9.1,1
2015-01-09,win,2.14.2,1
2015-01-09,win,release.exe,1
2015-01-09,src,2.15.1,1
2015-01-09,src,2.1.0,1
2015-01-09,win,2.12.1,1
2015-01-09,src,3.1.2,89
2015-01-09,src,3.0.3,1
2015-01-09,osx,3.0.0,2
2015-01-09,osx,2.15.3,1
2015-01-09,src,2.12.2,1
2015-01-09,osx,3.0.3,1
2015-01-09,win,3.0.1,1
2015-01-09,osx,3.1.1,2
2015-01-09,osx,3.1.2,329
2015-01-09,osx,latest,19
2015-01-09,osx,2.13.0,1
2015-01-09,win,2.15.0,1
2015-01-09,win,2.15.3,2
2015-01-09,src,3.1.0,6
2015-01-09,src,latest,2
2015-01-09,win,3.0.0,1
2015-01-09,src,2.15.0,2
2015-01-09,src,3.0.2,3
2015-01-09,win,3.0.2,2
2015-01-10,osx,2.14.1,1
2015-01-10,osx,2.13.1,2
2015-01-10,osx,2.14.0,2
2015-01-10,win,3.0.1,1
2015-01-10,osx,2.12.2,1
2015-01-10,src,latest,1
2015-01-10,src,2.14.0,1
2015-01-10,osx,2.11.1,1
2015-01-10,src,3.1.1,4
2015-01-10,osx,2.15.0,1
2015-01-10,win,3.1.1,160
2015-01-10,osx,2.10.1,2
2015-01-10,osx,2.12.0,1
2015-01-10,src,3.1.0,61
2015-01-10,osx,3.0.3,1
2015-01-10,osx,2.11.0,3
2015-01-10,osx,2.13.0,1
2015-01-10,src,3.1.2,52
2015-01-10,src,2.9.1,1
2015-01-10,osx,3.1.2,178
2015-01-10,osx,3.0.0,1
2015-01-10,osx,3.1.1,1
2015-01-10,win,devel,72
2015-01-10,osx,2.15.3,1
2015-01-10,win,2.7.1,1
2015-01-10,osx,latest,7
2015-01-10,src,2.0.0,2
2015-01-10,osx,3.1.0,1
2015-01-10,src,2.13.2,1
2015-01-10,osx,2.15.2,1
2015-01-10,win,3.1.2,1906
2015-01-10,src,2.6.2,1
2015-01-10,osx,2.13.2,2
2015-01-10,osx,2.15.1,2
2015-01-10,osx,3.0.2,1
2015-01-10,osx,3.0.1,1
2015-01-10,win,3.0.3,3
2015-01-10,src,3.0.3,2
2015-01-10,osx,2.12.1,2
2015-01-11,src,2.15.1,1
2015-01-11,osx,2.10.1,1
2015-01-11,osx,2.11.1,1
2015-01-11,osx,2.14.2,1
2015-01-11,osx,3.1.2,210
2015-01-11,osx,2.14.0,1
2015-01-11,src,2.6.0,1
2015-01-11,src,latest,2
2015-01-11,win,2.15.0,2
2015-01-11,osx,3.0.3,2
2015-01-11,win,2.14.2,1
2015-01-11,osx,latest,1
2015-01-11,win,3.1.1,146
2015-01-11,src,3.1.0,53
2015-01-11,osx,3.1.1,2
2015-01-11,osx,3.1.0,2
2015-01-11,osx,2.15.3,1
2015-01-11,osx,2.13.2,1
2015-01-11,src,2.11.0,1
2015-01-11,src,2.9.2,1
2015-01-11,osx,2.14.1,1
2015-01-11,osx,3.0.0,1
2015-01-11,src,3.0.1,1
2015-01-11,src,3.1.2,63
2015-01-11,osx,2.15.1,3
2015-01-11,osx,2.11.0,2
2015-01-11,osx,2.15.2,1
2015-01-11,win,2.14.1,1
2015-01-11,src,3.1.1,6
2015-01-11,src,2.4.1,1
2015-01-11,src,2.13.1,1
2015-01-11,win,3.1.0,2
2015-01-11,win,3.1.2patched,1
2015-01-11,osx,2.13.0,3
2015-01-11,win,devel,5
2015-01-11,osx,2.12.1,1
2015-01-11,osx,2.12.0,1
2015-01-11,src,2.15.0,3
2015-01-11,win,3.1.2,1084
2015-01-12,src,3.1.0,56
2015-01-12,osx,2.10.1,1
2015-01-12,src,3.0.0,1
2015-01-12,src,3.0.1,2
2015-01-12,osx,2.11.0,1
2015-01-12,src,2.0.0,1
2015-01-12,osx,3.0.3,1
2015-01-12,osx,2.12.2,2
2015-01-12,osx,2.12.1,2
2015-01-12,win,devel,1
2015-01-12,src,2.13.0,1
2015-01-12,osx,3.1.2,454
2015-01-12,src,2.15.3,2
2015-01-12,osx,3.1.1,2
2015-01-12,win,2.11.0,1
2015-01-12,src,2.11.1,1
2015-01-12,osx,3.0.0,1
2015-01-12,osx,2.12.0,2
2015-01-12,src,3.1.1,7
2015-01-12,osx,2.15.3,1
2015-01-12,win,3.1.2,1991
2015-01-12,win,2.14.0,1
2015-01-12,osx,2.15.1,5
2015-01-12,osx,2.14.0,4
2015-01-12,osx,2.14.2,2
2015-01-12,src,2.15.0,1
2015-01-12,osx,2.13.1,1
2015-01-12,win,3.0.0,1
2015-01-12,win,3.1.0,1
2015-01-12,osx,2.10.0,3
2015-01-12,win,3.1.2patched,1
2015-01-12,win,2.11.1,2
2015-01-12,src,2.13.2,1
2015-01-12,src,2.9.2,1
2015-01-12,osx,2.15.2,2
2015-01-12,src,2.12.0,2
2015-01-12,src,3.1.2,99
2015-01-12,src,2.5.0,2
2015-01-12,src,2.8.1,1
2015-01-12,osx,latest,22
2015-01-12,win,3.1.1,156
2015-01-12,osx,2.14.1,2
2015-01-12,osx,3.1.0,3
2015-01-12,win,2.15.2,1
2015-01-12,src,latest,2
2015-01-12,src,2.15.2,2
2015-01-12,osx,3.0.2,3
2015-01-12,osx,2.11.1,1
2015-01-12,win,release.exe,1
2015-01-12,src,2.11.0,1
2015-01-12,src,2.13.1,1
2015-01-12,src,2.10.1,1
2015-01-12,osx,2.15.0,1
2015-01-12,win,2.9.2,1
2015-01-13,osx,3.1.2,482
2015-01-13,osx,2.11.1,2
2015-01-13,src,3.0.2,2
2015-01-13,win,2.10.1,4
2015-01-13,src,3.1.0,52
2015-01-13,osx,2.12.2,1
2015-01-13,osx,2.10.1,1
2015-01-13,osx,2.14.2,1
2015-01-13,osx,3.0.3,3
2015-01-13,osx,3.1.0,3
2015-01-13,osx,2.13.0,1
2015-01-13,win,2.13.2,1
2015-01-13,src,3.0.3,3
2015-01-13,osx,2.15.2,1
2015-01-13,win,2.15.0,1
2015-01-13,win,3.1.0,6
2015-01-13,osx,2.13.1,2
2015-01-13,osx,3.1.1,3
2015-01-13,osx,2.13.2,1
2015-01-13,src,3.1.2,106
2015-01-13,win,2.15.2,2
2015-01-13,src,3.1.1,9
2015-01-13,src,latest,1
2015-01-13,src,3.0.1,2
2015-01-13,osx,2.15.0,1
2015-01-13,win,3.0.2,1
2015-01-13,osx,3.0.0,1
2015-01-13,osx,2.15.1,2
2015-01-13,osx,latest,9
2015-01-13,win,3.1.1,142
2015-01-13,win,3.1.2,1768
2015-01-13,src,2.10.1,1
2015-01-13,win,2.10.0,2
2015-01-13,src,2.15.1,1
2015-01-13,osx,3.0.1,2
2015-01-13,osx,2.14.1,2
2015-01-13,osx,2.12.1,1
2015-01-13,osx,2.11.0,1
2015-01-13,src,2.6.2,1
2015-01-13,win,3.1.2patched,3
2015-01-13,win,devel,1
2015-01-13,src,2.15.2,3
2015-01-14,win,devel,2
2015-01-14,osx,2.11.0,1
2015-01-14,osx,2.15.0,1
2015-01-14,win,3.0.0,2
2015-01-14,osx,2.15.1,1
2015-01-14,osx,3.0.3,1
2015-01-14,osx,3.1.2,520
2015-01-14,win,3.1.2patched,1
2015-01-14,osx,2.15.3,1
2015-01-14,win,3.0.2,3
2015-01-14,src,2.4.1,1
2015-01-14,win,2.12.0,5
2015-01-14,src,2.11.0,1
2015-01-14,osx,3.1.1,2
2015-01-14,win,3.1.1,183
2015-01-14,src,3.1.1,6
2015-01-14,win,3.1.2,1866
2015-01-14,src,2.14.2,1
2015-01-14,win,2.15.2,2
2015-01-14,win,2.11.1,1
2015-01-14,osx,3.1.0,1
2015-01-14,src,latest,1
2015-01-14,src,2.15.3,3
2015-01-14,src,3.1.2,88
2015-01-14,osx,latest,9
2015-01-14,src,3.1.0,61
2015-01-14,win,3.0.3,1
2015-01-14,osx,2.13.2,1
2015-01-14,win,3.1.0,2
2015-01-15,src,3.1.0,62
2015-01-15,osx,3.0.3,2
2015-01-15,osx,2.12.0,1
2015-01-15,osx,3.1.2,524
2015-01-15,src,2.4.0,1
2015-01-15,win,2.15.3,2
2015-01-15,osx,2.13.2,1
2015-01-15,osx,3.0.2,1
2015-01-15,win,2.15.1,1
2015-01-15,win,2.15.2,2
2015-01-15,osx,3.1.0,1
2015-01-15,osx,3.1.1,9
2015-01-15,src,3.1.1,7
2015-01-15,src,3.0.0,1
2015-01-15,src,3.1.2,100
2015-01-15,osx,2.15.3,1
2015-01-15,osx,3.0.1,1
2015-01-15,osx,2.11.1,1
2015-01-15,win,devel,1
2015-01-15,win,3.1.2patched,3
2015-01-15,win,2.4.0,1
2015-01-15,src,latest,2
2015-01-15,win,3.0.1,1
2015-01-15,src,3.0.2,3
2015-01-15,src,2.15.3,3
2015-01-15,win,3.1.1,215
2015-01-15,src,2.15.0,2
2015-01-15,win,2.2.0,1
2015-01-15,osx,latest,4
2015-01-15,win,3.1.2,1795
2015-01-15,osx,2.14.1,1
2015-01-15,win,3.1.0,2
2015-01-15,win,3.0.2,1
2015-01-15,osx,2.10.1,1
2015-01-15,osx,2.15.1,1
2015-01-15,win,3.0.0,1
2015-01-15,win,2.12.0,1
2015-01-16,win,3.0.3,1
2015-01-16,src,3.1.2,88
2015-01-16,src,2.11.0,2
2015-01-16,src,3.0.0,1
2015-01-16,win,3.0.0,1
2015-01-16,src,3.1.0,67
2015-01-16,osx,3.0.0,1
2015-01-16,NA,3.1.2,2
2015-01-16,win,2.14.1,1
2015-01-16,win,3.1.2,1645
2015-01-16,win,2.5.1,1
2015-01-16,win,2.11.1,1
2015-01-16,osx,2.11.0,1
2015-01-16,osx,3.1.2,540
2015-01-16,src,2.15.3,3
2015-01-16,win,devel,5
2015-01-16,src,2.11.1,1
2015-01-16,win,2.14.2,1
2015-01-16,win,3.1.1,171
2015-01-16,win,2.2.1,1
2015-01-16,osx,2.15.2,1
2015-01-16,osx,3.1.0,1
2015-01-16,win,3.1.0,2
2015-01-16,win,2.15.3,1
2015-01-16,osx,2.15.3,1
2015-01-16,src,3.1.1,7
2015-01-16,osx,latest,18
2015-01-16,osx,2.12.2,1
2015-01-16,osx,3.1.1,3
2015-01-16,osx,2.15.0,1
2015-01-16,src,latest,1
2015-01-16,osx,2.10.1,1
2015-01-16,win,3.1.2patched,4
2015-01-16,osx,2.10.0,3
2015-01-17,win,2.2.1,1
2015-01-17,win,2.8.0,2
2015-01-17,src,2.15.3,1
2015-01-17,win,3.0.1,1
2015-01-17,win,2.13.0,1
2015-01-17,win,3.0.0,2
2015-01-17,win,2.4.0,1
2015-01-17,osx,2.15.3,1
2015-01-17,osx,3.0.3,1
2015-01-17,win,2.14.2,1
2015-01-17,win,2.15.0,1
2015-01-17,osx,3.1.2,203
2015-01-17,win,2.6.1,1
2015-01-17,src,3.0.3,1
2015-01-17,src,3.1.1,4
2015-01-17,win,2.14.1,1
2015-01-17,win,release.exe,1
2015-01-17,src,3.1.0,65
2015-01-17,win,2.2.0,1
2015-01-17,osx,3.1.1,1
2015-01-17,win,2.11.0,2
2015-01-17,win,2.2.1pat,1
2015-01-17,win,2.10.0,2
2015-01-17,win,3.1.0,2
2015-01-17,win,2.7.2,1
2015-01-17,win,3.1.2patched,6
2015-01-17,win,2.10.1,1
2015-01-17,win,2.11.1,2
2015-01-17,win,2.15.2,1
2015-01-17,win,2.12.2,1
2015-01-17,win,2.3.0,1
2015-01-17,win,2.9.1,1
2015-01-17,win,2.6.2,1
2015-01-17,osx,2.11.1,1
2015-01-17,win,2.3.1,1
2015-01-17,osx,3.0.2,1
2015-01-17,win,2.15.3,1
2015-01-17,osx,2.13.2,2
2015-01-17,src,2.15.0,2
2015-01-17,win,devel,6
2015-01-17,win,2.13.1,1
2015-01-17,win,2.8.1,1
2015-01-17,win,3.1.2,1036
2015-01-17,win,2.4.1,1
2015-01-17,src,latest,1
2015-01-17,win,3.1.1,168
2015-01-17,win,2.7.0,1
2015-01-17,src,3.1.2,61
2015-01-17,win,2.9.0,1
2015-01-17,win,2.6.0,1
2015-01-17,win,2.7.1,1
2015-01-17,win,2.5.1,1
2015-01-17,win,2.12.0,1
2015-01-17,win,2.12.1,1
2015-01-17,win,2.5.0,1
2015-01-17,osx,latest,2
2015-01-17,win,2.15.1,1
2015-01-17,src,3.0.2,3
2015-01-17,win,2.14.0,2
2015-01-17,win,3.0.3,3
2015-01-17,win,2.9.2,1
2015-01-17,win,2.13.2,1
2015-01-17,win,3.0.2,2
2015-01-18,src,2.1.1,1
2015-01-18,osx,3.0.0,1
2015-01-18,win,3.1.0,1
2015-01-18,src,3.1.2,68
2015-01-18,src,2.7.1,1
2015-01-18,osx,2.15.0,1
2015-01-18,osx,2.12.2,1
2015-01-18,win,3.1.2,1044
2015-01-18,win,2.11.1,1
2015-01-18,win,2.13.0,1
2015-01-18,src,2.15.1,2
2015-01-18,win,2.3.1,1
2015-01-18,src,3.1.0,57
2015-01-18,osx,latest,3
2015-01-18,win,3.1.2patched,3
2015-01-18,osx,3.1.1,1
2015-01-18,osx,3.1.2,241
2015-01-18,src,2.12.1,1
2015-01-18,win,2.9.1,1
2015-01-18,win,3.1.1,150
2015-01-18,win,devel,2
2015-01-18,win,2.15.0,1
2015-01-18,src,2.8.0,1
2015-01-18,src,2.15.3,1
2015-01-19,osx,2.12.1,1
2015-01-19,src,2.4.0,1
2015-01-19,osx,3.1.2,325
2015-01-19,src,latest,2
2015-01-19,osx,3.0.0,1
2015-01-19,osx,3.0.3,1
2015-01-19,win,2.7.1,1
2015-01-19,osx,3.1.1,3
2015-01-19,win,2.9.2,1
2015-01-19,src,3.1.2,118
2015-01-19,osx,2.13.2,1
2015-01-19,win,2.6.0,1
2015-01-19,win,3.1.1,206
2015-01-19,src,2.15.3,2
2015-01-19,win,3.1.0,1
2015-01-19,win,release.exe,1
2015-01-19,win,2.15.3,2
2015-01-19,src,2.7.0,2
2015-01-19,win,2.11.0,1
2015-01-19,win,3.0.2,1
2015-01-19,src,2.7.2,1
2015-01-19,src,2.15.0,1
2015-01-19,osx,latest,1
2015-01-19,osx,2.14.2,1
2015-01-19,win,devel,1
2015-01-19,src,3.1.1,4
2015-01-19,osx,2.11.1,1
2015-01-19,src,2.15.2,1
2015-01-19,win,3.1.2,1663
2015-01-19,win,3.0.3,1
2015-01-19,win,2.2.1pat,1
2015-01-19,osx,2.15.3,2
2015-01-19,src,3.1.0,51
2015-01-19,osx,2.15.2,1
2015-01-19,src,2.12.1,3
2015-01-19,win,3.1.2patched,4
2015-01-19,osx,3.0.2,1
2015-01-19,src,2.3.1,1
2015-01-20,osx,2.11.0,1
2015-01-20,src,3.1.0,26
2015-01-20,win,3.0.3,3
2015-01-20,osx,3.1.2,586
2015-01-20,src,3.1.1,5
2015-01-20,src,2.12.0,1
2015-01-20,win,3.1.1,165
2015-01-20,win,2.15.3,6
2015-01-20,win,2.15.2,2
2015-01-20,osx,3.1.0,2
2015-01-20,win,2.15.0,2
2015-01-20,src,2.3.1,1
2015-01-20,osx,2.15.3,2
2015-01-20,osx,3.0.2,1
2015-01-20,win,3.1.0,1
2015-01-20,src,2.5.1,1
2015-01-20,win,2.13.2,1
2015-01-20,src,2.8.1,1
2015-01-20,osx,2.15.2,2
2015-01-20,osx,3.0.3,2
2015-01-20,win,3.1.2patched,4
2015-01-20,osx,2.13.0,1
2015-01-20,src,2.15.3,3
2015-01-20,src,3.0.3,2
2015-01-20,win,2.12.0,1
2015-01-20,win,2.9.0,1
2015-01-20,src,3.0.0,3
2015-01-20,osx,latest,3
2015-01-20,win,3.1.2,1932
2015-01-20,osx,3.1.1,2
2015-01-20,src,2.14.2,1
2015-01-20,src,2.14.1,1
2015-01-20,src,2.0.0,1
2015-01-20,src,3.1.2,102
